"Pest Name","Crop Type","Treatment Recommendations"
"Brown Planthopper","Rice","IPM Approach: Use resistant varieties (BPH-resistant cultivars). Cultural Control: Synchronous planting within 2-3 weeks, avoid excessive nitrogen fertilization. Biological Control: Conserve natural enemies (spiders, mirid bugs). Chemical Control: Use selective insecticides like imidacloprid or thiamethoxam only when threshold exceeded. Monitoring: Use light traps and visual inspection."
"Rice Leaf Roller","Rice","Cultural Control: Maintain proper water management, avoid excessive nitrogen. Biological Control: Encourage parasitoids and predators. Chemical Control: Apply chlorantraniliprole or cartap hydrochloride when larval population exceeds threshold. Mechanical Control: Remove rolled leaves manually in small fields."
"Whitebacked Planthopper","Rice","Varietal Resistance: Use resistant varieties. Cultural Control: Proper plant spacing, remove alternate hosts (grasses). Biological Control: Preserve natural enemies. Chemical Control: Apply targeted insecticides like buprofezin or pymetrozine based on economic threshold levels."
"Green Rice Leafhopper","Rice","Cultural Control: Remove grassy weeds, maintain field sanitation. Biological Control: Conserve spiders and other predators. Chemical Control: Use systemic insecticides like thiamethoxam when populations exceed threshold. Physical Control: Use yellow sticky traps for monitoring and mass trapping."
"Rice Gall Midge","Rice","Resistant Varieties: Plant gall midge-resistant varieties. Cultural Control: Deep ploughing, remove stubbles, adjust planting dates. Biological Control: Release Platygaster oryzae parasitoids. Chemical Control: Apply carbofuran or fipronil as soil application or foliar spray during vulnerable stages."
"Rice Stem Borer","Rice","Cultural Control: Cut and remove stubbles, deep ploughing, use pheromone traps. Biological Control: Release Trichogramma egg parasitoids, encourage birds. Chemical Control: Apply cartap hydrochloride, chlorantraniliprole, or fipronil at early infestation. Mechanical Control: Remove dead hearts and white heads."
"Rice Brown Leafhopper","Rice","Cultural Control: Remove alternate hosts, proper field sanitation. Biological Control: Preserve natural predators like spiders and mirid bugs. Chemical Control: Apply imidacloprid or acetamiprid when economic threshold is reached. Physical Control: Use light traps for monitoring and control."
"Rice Green Leafhopper","Rice","Integrated Management: Use resistant varieties, maintain proper plant nutrition. Cultural Control: Remove weedy hosts, proper water management. Biological Control: Conserve natural enemies. Chemical Control: Apply systemic insecticides like thiamethoxam or clothianidin when threshold exceeded."
"Rice Black Bug","Rice","Cultural Control: Remove grassy weeds, maintain field hygiene. Biological Control: Encourage predatory insects and spiders. Chemical Control: Apply malathion or cypermethrin when bug population exceeds economic threshold. Physical Control: Hand collection in early morning when bugs are sluggish."
"Rice White Grub","Rice","Cultural Control: Summer ploughing, flooding fields to kill pupae. Biological Control: Use entomopathogenic nematodes or fungi. Chemical Control: Apply soil treatment with chlorpyrifos or fipronil before transplanting. Physical Control: Light traps to catch adults during swarming."
"Corn Earworm","Corn","Cultural Control: Plant early maturing varieties, destroy crop residues. Biological Control: Release Trichogramma wasps, encourage predatory beetles. Chemical Control: Apply spinosad, indoxacarb, or Bt-based insecticides at silk emergence. Monitoring: Use pheromone traps for adult monitoring."
"European Corn Borer","Corn","Cultural Control: Use Bt corn varieties, destroy corn stalks after harvest. Biological Control: Release Trichogramma brassicae egg parasitoids. Chemical Control: Apply chlorantraniliprole or methomyl at egg hatching stage. Mechanical Control: Remove and destroy infested plant parts."
"Corn Rootworm","Corn","Cultural Control: Crop rotation with non-host crops (soybeans), use resistant varieties. Biological Control: Apply entomopathogenic nematodes to soil. Chemical Control: Soil application of terbufos or clothianidin at planting. Adult Control: Foliar sprays of carbaryl or pyrethroid insecticides."
"Corn Leaf Aphid","Corn","Biological Control: Conserve ladybird beetles, lacewings, and parasitic wasps. Cultural Control: Avoid excessive nitrogen fertilization, remove alternate hosts. Chemical Control: Apply imidacloprid or thiamethoxam when aphid colonies exceed threshold. Natural Control: Encourage beneficial insects through habitat management."
"Corn Stalk Borer","Corn","Cultural Control: Destroy crop residues, deep ploughing after harvest. Biological Control: Use Trichogramma egg parasitoids and predatory bugs. Chemical Control: Apply carbofuran granules or spray chlorantraniliprole during early larval stages. Physical Control: Use pheromone traps for monitoring."
"Corn Seedling Maggot","Corn","Cultural Control: Plant in warm, well-drained soil, avoid planting in cold, wet conditions. Biological Control: Use beneficial nematodes and predatory beetles. Chemical Control: Seed treatment with thiamethoxam or clothianidin. Physical Control: Use row covers during vulnerable seedling stage."
"Corn Armyworm","Corn","Cultural Control: Early planting, destroy weeds and crop residues. Biological Control: Release Telenomus remus egg parasitoids, encourage predatory insects. Chemical Control: Apply spinetoram, chlorantraniliprole, or emamectin benzoate at early larval stages. Monitoring: Use pheromone traps and regular scouting."
"Corn Leaf Miner","Corn","Cultural Control: Remove and destroy infested leaves, maintain field sanitation. Biological Control: Encourage parasitic wasps and predatory insects. Chemical Control: Apply abamectin or cyromazine when mining activity is observed. Resistant Varieties: Use varieties with natural resistance to leaf miners."
"Wheat Aphid","Wheat","Biological Control: Conserve ladybird beetles, lacewings, and parasitic wasps. Cultural Control: Balanced fertilization, remove alternate hosts. Chemical Control: Apply pirimicarb or thiamethoxam when aphid density exceeds economic threshold. Natural Enemies: Encourage beneficial insect habitat with field margins."
"Wheat Stem Sawfly","Wheat","Cultural Control: Plant solid-stemmed wheat varieties, adjust seeding rates. Biological Control: Encourage parasitic wasps (Bracon species). Chemical Control: Apply chlorpyrifos or lambda-cyhalothrin during adult emergence. Mechanical Control: Cut stubble low to reduce overwintering survival."
"Wheat Hessian Fly","Wheat","Resistant Varieties: Plant Hessian fly-resistant wheat varieties. Cultural Control: Delay planting until after fly-free date, destroy volunteer wheat. Biological Control: Preserve parasitic wasps. Chemical Control: Seed treatment with imidacloprid or thiamethoxam in severe infestations."
"Wheat Leaf Rust","Wheat","Resistant Varieties: Plant rust-resistant wheat cultivars. Cultural Control: Remove volunteer wheat and alternate hosts. Chemical Control: Apply fungicides like propiconazole or tebuconazole at first rust appearance. Monitoring: Regular field inspection for early detection and treatment."
"Wheat Armyworm","Wheat","Cultural Control: Deep tillage, remove crop residues and weeds. Biological Control: Use egg parasitoids and encourage predatory insects. Chemical Control: Apply chlorantraniliprole, methomyl, or cypermethrin at early larval stages. Monitoring: Use pheromone traps and regular field scouting."
